epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.1091,3.11916,6.5639,2.34946,0.00056,0.25,0.00048,5e-05,2.45739,6.82802,2.15866,2e-05,2e-05,2e-05
2,15.1635,2.76359,6.38619,1.93282,0.00056,0.25,0.00043,9e-05,2.32543,6.87312,2.10057,4.515e-05,4.515e-05,4.515e-05
3,22.218,2.01801,5.5195,1.4647,0.00056,0.25,0.00047,9e-05,2.16034,6.98611,2.01339,2.575e-05,2.575e-05,2.575e-05
