epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.9809,2.17864,8.21319,1.63988,0.00071,0.42857,0.0009,0.00049,1.30111,7.09787,1.1797,0.000654088,0.000654088,0.000654088
2,116.089,1.76667,7.43365,1.30836,0.00111,0.66667,0.00135,0.00062,1.53221,7.17403,1.16044,0.000993868,0.000993868,0.000993868
3,169.054,1.58866,6.74744,1.18014,0.00143,0.85714,0.15251,0.09071,1.42312,6.78723,1.17134,0.000511761,0.000511761,0.000511761
